"Crestwood Associates","56%","$12.1m","Software","Illinois","Chicago",,61,
"ABG Capital","56%","$23.5m","Business Products & Services","Pennsylvania","Pittsburgh PA",,20,
"Optimal Networks","56%","$5.7m","IT Services","Maryland","Washington DC",,34,
"Summit Security Services","56%","$146.9m","Security","New York","New York City",,3717,
"Trideum","56%","$16.4m","Government Services","Alabama","Huntsville AL",,117,
"American Painting & Renovations","56%","$15.4m","Construction","Georgia","Atlanta",,18,
"TASC","56%","$98.7m","Human Resources","Wisconsin","Madison WI",,1111,
"EcoSwift","56%","$6.4m","Retail","Utah","Provo-Orem UT",,38,
"diplomaframe.com","56%","$10.9m","Consumer Products & Services","Connecticut","Bridgeport-Stamford-Norwalk CT",,84,
"ANOVA Marine Insurance","56%","$3.6m","Logistics & Transportation","Florida","Miami",,15,
"The Partners Group","56%","$25m","Insurance","Oregon","Portland OR",,124,
"Retail Solutions","56%","$58.3m","Software","California","San Jose",,383,
"Hill Chesson & Woody","56%","$14.4m","Insurance","North Carolina","Raleigh NC",,76,
"Dasher Technologies","56%","$125.3m","IT Services","California","San Jose",,75,
"Electronic Tenant Solutions","55%","$3.7m","Real Estate","District of Columbia","Washington DC",,45,
"Resonate","55%","$25.9m","Advertising & Marketing","Virginia","Washington DC",,81,
"BCMOne","55%","$51.1m","Telecommunications","New York","New York City",,99,
"Diamond Solutions","55%","$24.7m","Government Services","Virginia","Washington DC",,215,
"Auto Credit Express","55%","$34m","Financial Services","Michigan","Detroit",,120,
"Envision Security","55%","$4.7m","Security","Arizona","Phoenix",,12,
"Innovative Management & Technology Services","55%","$8.3m","IT Services","West Virginia","Fairmont WV",,50,
"DieselCore","55%","$7.4m","Business Products & Services","Texas","Houston",,18,
"LSS Life Safety Services","55%","$7.3m","Business Products & Services","Kentucky","Louisville/Jefferson County KY-IN",,125,
"AvaLAN Wireless Systems","55%","$3.6m","Computer Hardware","Alabama","Huntsville AL",,18,
"Therapy Source","55%","$24.6m","Health","Pennsylvania","Philadelphia",,53,
"EquipSystems","55%","$4.6m","Health","New York","New York City",,50,
"IMS Technology Services","55%","$20.7m","Business Products & Services","Pennsylvania","Philadelphia",,85,
"ReminderMedia","55%","$23.3m","Advertising & Marketing","Pennsylvania","Philadelphia",,145,
"Customized Energy Solutions","55%","$26m","Energy","Pennsylvania","Philadelphia",,124,
"XpoSolutions","55%","$5m","Logistics & Transportation","Illinois","Chicago",,13,
"iT1","55%","$100.6m","Computer Hardware","Arizona","Phoenix",,91,
"Christmas Central","55%","$25.5m","Retail","New York","Buffalo-Cheektowaga-Niagara Falls NY",,162,
"Doe-Anderson","55%","$13.2m","Advertising & Marketing","Kentucky","Louisville/Jefferson County KY-IN",,98,
"SHR","55%","$6.4m","Travel & Hospitality","Texas","Houston",,45,
"EPIC Systems","55%","$23.3m","Engineering","Missouri","St. Louis MO-IL",,59,
"Mindgrub Technologies","55%","$4.7m","Software","Maryland","Baltimore",,50,
"Blackstone Security Services","55%","$10m","Security","Arizona","Phoenix",,550,
"AAP","55%","$4.5m","Human Resources","South Carolina","Charleston-North Charleston SC",,41,
"Palmetto Technology Group","55%","$2.9m","IT Services","South Carolina","Greenville-Anderson-Mauldin SC",,18,
"Kestler Financial Group","55%","$5.6m","Financial Services","Virginia","Washington DC",,22,
"ISTS","55%","$4.8m","Business Products & Services","Tennessee","Nashville",,48,
"Suzanne Evans Coaching","55%","$6.5m","Business Products & Services","South Carolina","Georgetown SC",,15,
"Acts360","55%","$2.1m","IT Services","Florida","Tampa",,12,
"EBW Electronics","55%","$41.1m","Manufacturing","Michigan","Grand Rapids-Wyoming MI",,236,
"Biz Technology Solutions","55%","$4.8m","IT Services","North Carolina","Charlotte",,42,
"Penn Credit","55%","$25.4m","Financial Services","Pennsylvania","Harrisburg-Carlisle PA",,196,
"Strong-Bridge","55%","$37.5m","Business Products & Services","Washington","Seattle",,172,
"MMI Engineered Solutions","55%","$24.7m","Manufacturing","Michigan","Adrian MI",,104,
"New Horizons Learning Group","55%","$19.2m","IT Services","California","Los Angeles",,135,
"Synerzip","55%","$16m","Software","Texas","Dallas",,434,
"Bell Media","55%","$3.5m","Media","Alabama","Montgomery AL",,28,
"Sterling Talent Solutions","54%","$331.9m","Human Resources","New York","New York City",,2939,
"Real World Marketing","54%","$28.1m","Advertising & Marketing","Arizona","Phoenix",,28,
"Mobovida","54%","$13.7m","Telecommunications","California","Los Angeles",,51,
"Karpel Solutions","54%","$7.4m","IT Services","Missouri","St. Louis MO-IL",,49,
"Cellular Sales of Knoxville","54%","$1.4b","Retail","Tennessee","Knoxville TN",,4752,
"Practice Velocity","54%","$31.2m","Software","Illinois","Rockford IL",,233,
"Town Square Financial","54%","$12m","Financial Services","Texas","Dallas",,83,
"Rottet Studio","54%","$13.7m","Construction","Texas","Houston",,50,
"Sereno Group","54%","$62.1m","Real Estate","California","San Jose",,45,
"Taphandles","54%","$32.7m","Business Products & Services","Washington","Seattle",,531,
"Access Worldwide","54%","$8m","Logistics & Transportation","Georgia","Atlanta",,25,
"The Nuvo Group","54%","$6.1m","Manufacturing","New York","New York City",,10,
"Stett Transportation","54%","$11.5m","Logistics & Transportation","Kentucky","Cincinnati",,18,
"KITEWIRE","54%","$2.5m","Software","Virginia","Washington DC",,8,
"Cash Practice","54%","$2.1m","Software","California","San Diego",,18,
"Whitlock","54%","$271.4m","Business Products & Services","Virginia","Richmond VA",,810,
"Grant Victor","54%","$37.1m","Financial Services","Utah","Ogden-Clearfield UT",,80,
"Visiting Angels","54%","$23m","Health","Pennsylvania","Philadelphia",,43,
"Image Locations","54%","$9m","Media","California","Los Angeles",,32,
"Atlas Butler Heating and Cooling","54%","$24.3m","Construction","Ohio","Columbus OH",,146,
"Somnio","54%","$10.1m","Advertising & Marketing","Texas","Austin",,65,
"iTech Solutions","54%","$22m","IT Services","Connecticut","Hartford-West Hartford-East Hartford CT",,149,
"Exterior Medics","54%","$7.7m","Construction","Virginia","Washington DC",,29,
"Hernandez Consulting","54%","$25.4m","Government Services","Louisiana","New Orleans-Metairie LA",,48,
"Synergy Comp Insurance Company","54%","$14.4m","Insurance","Pennsylvania","Youngstown-Warren-Boardman OH-PA",,23,
"Shield Watch","54%","$2.3m","IT Services","Florida","Tampa",,20,
"Sema","54%","$34.3m","Business Products & Services","California","Los Angeles",,120,
"Open Sky Group","54%","$3.4m","Logistics & Transportation","North Carolina","Raleigh NC",,22,
"Fish Consulting","53%","$2.8m","Advertising & Marketing","Florida","Miami",,17,
"ExakTime Innovations","53%","$16.1m","Business Products & Services","California","Los Angeles",,69,
"Brightway Insurance","53%","$395m","Insurance","Florida","Jacksonville FL",,209,
"Market America","53%","$791m","Retail","North Carolina","Greensboro-High Point NC",,800,
"Pro Mach","53%","$533m","Manufacturing","Kentucky","Cincinnati",,1978,
"Ascedia","53%","$6.6m","Advertising & Marketing","Wisconsin","Milwaukee-Waukesha-West Allis WI",,57,
"Ansafone Contact Centers","53%","$17.7m","Telecommunications","California","Los Angeles",,454,
"Schox","53%","$3.4m","Business Products & Services","California","San Francisco",,9,
"Guidant Financial","53%","$15.6m","Financial Services","Washington","Seattle",,88,
"W2O Group","53%","$95m","Advertising & Marketing","California","San Francisco",,427,
"Modern Store Equipment","53%","$14.7m","Manufacturing","New Jersey","Philadelphia",,45,
"NVE","53%","$24.7m","Government Services","Virginia","Washington DC",,175,
"Legacy Housing","53%","$106.9m","Manufacturing","Texas","Dallas",,450,
"Meyer Dunlap","53%","$5.8m","Advertising & Marketing","Texas","Dallas",,13,
"Component Surfaces","53%","$2.1m","Manufacturing","California","San Diego",,40,
"The Trade Group","53%","$32m","Advertising & Marketing","Texas","Dallas",,121,
"Ubiquity Retirement + Savings","53%","$12.5m","Financial Services","California","San Francisco",,77,
"1-Stop Translation USA","53%","$3.5m","Business Products & Services","California","Los Angeles",,8,
"Footbridge Media","53%","$2.1m","Advertising & Marketing","Florida","Pensacola-Ferry Pass-Brent FL",,0,
"Platinum Payment Systems","53%","$4.2m","Financial Services","Utah","Provo-Orem UT",,12,
"CompuGain","53%","$50.3m","Business Products & Services","Virginia","Washington DC",,104,
"Snap Fitness","53%","$74.2m","Health","Minnesota","Minneapolis",,352,
"Millennium Circuits Limited","53%","$4.8m","Manufacturing","Pennsylvania","Harrisburg-Carlisle PA",,11,
"TrendyMinds","53%","$6.6m","Advertising & Marketing","Indiana","Indianapolis IN",,47,
"WatchGuard Video","53%","$58.2m","Government Services","Texas","Dallas",,185,
"TSA Consulting Group","53%","$13.4m","Government Services","Florida","Crestview-Fort Walton Beach-Destin FL",,81,
"American Specialty Health","53%","$331.9m","Health","Indiana","Indianapolis IN",,1276,
"Smart Choice Communications","53%","$11m","Telecommunications","New York","New York City",,36,
"Sikich","53%","$116.6m","Business Products & Services","Illinois","Chicago",,698,
"LiquidAgents Healthcare","53%","$36.4m","Health","Texas","Dallas",,455,
"Thompson Thrift Construction","53%","$179.9m","Construction","Indiana","Terre Haute IN",,186,
"OriGen Biomedical","53%","$10.3m","Health","Texas","Austin",,64,
"Gen3 Marketing","53%","$7m","Advertising & Marketing","Pennsylvania","Philadelphia",,34,
"CentralCare","52%","$35m","Health","Virginia","Washington DC",,450,
"ASAP Towing & Storage","52%","$4.3m","Logistics & Transportation","Florida","Jacksonville FL",,45,
"McClure Engineering Company","52%","$11.3m","Engineering","Iowa","Des Moines-West Des Moines IA",,131,
"CoreAxis","52%","$6.2m","Human Resources","Massachusetts",,,44,
"Peacock Real Estate","52%","$19m","Real Estate","Michigan","Grand Rapids-Wyoming MI",,12,
"RealManage","52%","$28.8m","Real Estate","Texas","Dallas",,350,
"Thomas Edwards Group","52%","$4.3m","Business Products & Services","Texas","Dallas",,42,
"OVM FINANCIAL","52%","$21.3m","Financial Services","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,113,
"MARS IT","52%","$5.8m","IT Services","Wisconsin","Milwaukee-Waukesha-West Allis WI",,60,
"Resource Options","52%","$22.2m","Human Resources","Massachusetts","Boston",,1586,
"Quality Management Solutions","52%","$14m","IT Services","Massachusetts","Boston",,50,
"Small World Vacations","52%","$9.8m","Travel & Hospitality","New Jersey","New York City",,7,
"Purchasing Power","52%","$328.1m","Business Products & Services","Georgia","Atlanta",,215,
"Leon Speakers","52%","$9.4m","Consumer Products & Services","Michigan","Ann Arbor MI",,45,
"ENVIRO-SAFE RESOURCE RECOVERY","52%","$4.9m","Environmental Services","Wisconsin","Milwaukee-Waukesha-West Allis WI",,12,
"FairCode Associates","52%","$7.5m","Health","Florida","Naples-Immokalee-Marco Island FL",,61,
"Bagnall","52%","$2.4m","Insurance","Arizona","Phoenix",,13,
"PACIFICTECH MOLDED PRODUCTS","52%","$4.3m","Manufacturing","California","Los Angeles",,11,
"Collins Commercial Services","52%","$5.1m","Construction","Arizona","Phoenix",,42,
"Artisan Signs and Graphics","52%","$3.2m","Advertising & Marketing","North Carolina","Charlotte",,28,
"Crestmark Bank","52%","$96.7m","Financial Services","Michigan","Detroit",,284,
"Home Instead Senior Care Birmingham AL","52%","$5.9m","Health","Alabama","Birmingham-Hoover AL",,260,
"Merrimak Capital Company","52%","$20.1m","Business Products & Services","California","San Francisco",,30,
"Orbit Logic","52%","$3.9m","Software","Maryland","Washington DC",,20,
"Carla's Pasta","52%","$71.3m","Food & Beverage","Connecticut","Hartford-West Hartford-East Hartford CT",,148,
"KBW Financial Staffing & Recruiting","52%","$10.5m","Human Resources","New Hampshire","Manchester-Nashua NH",,32,
"Brilliant Group","52%","$3.4m","Manufacturing","California","San Francisco",,10,
"Brite Computers","52%","$30m","IT Services","New York","Rochester NY",,49,
"Consultwebs","52%","$5.1m","Advertising & Marketing","North Carolina","Raleigh NC",,48,
"EPAY Systems","52%","$12.1m","Software","Illinois","Chicago",,101,
"SWC Technology Partners","52%","$30.7m","IT Services","Illinois","Chicago",,165,
"Spring Works Utah","51%","$4.2m","Manufacturing","Utah","Ogden-Clearfield UT",,28,
"American Lube Centers","51%","$2.4m","Consumer Products & Services","Texas","College Station-Bryan TX",,28,
"Charm City Concierge","51%","$8.2m","Real Estate","Maryland","Baltimore",,48,
"Bridge Logistics","51%","$15.6m","Logistics & Transportation","Ohio","Cincinnati",,40,
"ISNetworld","51%","$124.7m","Business Products & Services","Texas","Dallas",,450,
"Phone.com","51%","$10.5m","Telecommunications","New Jersey","New York City",,58,
"ProTrans","51%","$291.5m","Logistics & Transportation","Indiana","Indianapolis IN",,725,
"Katom Restaurant Supply","51%","$66m","Food & Beverage","Tennessee","Morristown TN",,93,
"FlexPrint","51%","$46m","IT Services","Arizona","Phoenix",,208,
"MaeTec Power","51%","$15.2m","Telecommunications","New York","Rochester NY",,35,
"Fox World Travel","51%","$22.3m","Travel & Hospitality","Wisconsin","Fond du Lac WI",,213,
"EastBanc Technologies","51%","$16m","Software","District of Columbia","Washington DC",,111,
"Deque Systems","51%","$18.3m","Software","Virginia","Washington DC",,94,
"Insgroup","51%","$22m","Insurance","Texas","Houston",,96,
"Marrick Medical Finance","51%","$12.1m","Health","Colorado","Denver",,35,
"Fierce","51%","$8.3m","Business Products & Services","Washington","Seattle",,27,
"Millennium Surgical","51%","$10.4m","Health","Pennsylvania","Philadelphia",,22,
"Sanger & Eby","51%","$3.8m","Business Products & Services","Ohio","Cincinnati",,17,
"Clearview Energy","51%","$58.4m","Energy","Texas","Dallas",,50,
"gBuild Construction Managers","51%","$7.3m","Construction","Pennsylvania","Philadelphia",,9,
"Digerati Group","51%","$5m","IT Services","Illinois","Chicago",,60,
"RED Company","51%","$8.2m","Business Products & Services","California","Los Angeles",,10,
"Brace Shop","51%","$7m","Health","Florida","Miami",,21,
"England Thims & Miller","51%","$30.2m","Engineering","Florida","Jacksonville FL",,144,
"Compass HRM","51%","$2.8m","Software","Florida","Tampa",,35,
"Turbie Twist","51%","$8.1m","Consumer Products & Services","Pennsylvania","Pittsburgh PA",,6,
"Freeit","51%","$7.9m","IT Services","Texas","Austin",,8,
"The Neiders Company","51%","$18.2m","Real Estate","Washington","Seattle",,99,
"Lamacchia Realty","51%","$5.1m","Real Estate","Massachusetts","Boston",,50,
"Proforma Albrecht & Co.","51%","$31.4m","Business Products & Services","Ohio","Cincinnati",,34,
"MorganFranklin Consulting","51%","$68.7m","Business Products & Services","Virginia","Washington DC",,285,
"Loft9","50%","$12.5m","Business Products & Services","Washington","Seattle",,87,
"Green Lawn Fertilizing","50%","$10.1m","Consumer Products & Services","Pennsylvania","Philadelphia",,87,
"Imagine Staffing Technology","50%","$10.1m","Human Resources","New York","Buffalo-Cheektowaga-Niagara Falls NY",,25,
"Coury & Buehler Physical Therapy","50%","$8.2m","Health","California","Los Angeles",,193,
"Entech Consulting","50%","$19.8m","IT Services","Pennsylvania","Philadelphia",,142,
"Outer Banks Blue","50%","$5.3m","Travel & Hospitality","North Carolina","Kill Devil Hills NC",,48,
"Cloud 9 Living","50%","$7m","Consumer Products & Services","Colorado","Boulder CO",,15,
"LaSalle Network","50%","$48.1m","Human Resources","Illinois","Chicago",,134,
